play	genre	first_performed	company	title
2H6.xml	History	1591	'Strange''s (?) Pembroke''s (?)'	2 Henry VI (1591)
3H6.xml	History	1591	'Strange''s (?) Pembroke''s (?)'	3 Henry VI (1591)
LLL.xml	Comedy	1591	Unknown	'Love''s Labour Lost (1591)'
1H6.xml	History	1592	'Strange''s'	1 Henry VI (1592)
Err.xml	Comedy	1592	'Strange''s (?)'	The Comedy of Errors (1592)
R3.xml	History	1593	'Strange''s (?) Pembroke''s (?)'	Richard III (1593)
TGV.xml	Comedy	1593	Unknown	Two Gentlemen of Verona (1593)
Shr.xml	Comedy	1594	'Sussex''s (?) Chamber''s (?)'	The Taming of the Shrew (1594)
Tit.xml	Tragedy	1594	'Pembroke''s Sussex''s'	Titus Andronicus (1594)
H5.xml	History	1599	'Chamberlain''s'	Henry V (1599)
MND.xml	Comedy	1595	'Chamberlain''s'	'A Midsummer Night''s Dream (1595)'
R2.xml	History	1595	'Chamberlain''s'	Richard II (1595)
Rom.xml	Tragedy	1595	'Chamberlain''s (?)'	Romeo and Juliet (1595)
Jn.xml	History	1596	'Chamberlain''s'	King John (1596)
MV.xml	Comedy	1596	'Chamberlain''s'	The Merchant of Venice (1596)
1H4.xml	History	1597	'Chamberlain''s'	1 Henry IV (1597)
2H4.xml	History	1597	'Chamberlain''s'	2 Henry IV (1597)
Ado.xml	Comedy	1598	'Chamberlain''s'	Much Ado about Nothing (1598)
AYL.xml	Comedy	1599	'Chamberlain''s'	As You Like It (1599)
JC.xml	Tragedy	1599	'Chamberlain''s'	Julius Caesar (1599)
TN.xml	Comedy	1600	'Chamberlain''s'	Twelfth Night (1600)
Wiv.xml	Comedy	1600	'Chamberlain''s'	The Merry Wives of Windsor (1600)
Ham.xml	Tragedy	1601	'Chamberlain''s'	Hamlet (1601)
AWW.xml	Comedy	1602	'Chamberlain''s'	'All''s Well that Ends Well (1602)'
Tro.xml	Tragedy	1602	'Chamberlain''s'	Troilus and Cressida (1602)
MM.xml	Comedy	1604	'King''s'	Measure for Measure (1604)
Oth.xml	Tragedy	1604	'King''s'	Othello (1604)
Lr.xml	Tragedy	1605	'King''s'	King Lear (1605)
Mac.xml	Tragedy	1606	'King''s'	Macbeth (1606)
Ant.xml	Tragedy	1607	'King''s'	Antony and Cleopatra (1607)
Tim.xml	Tragedy	1607	Unacted (?)	Timon of Athens (1607)
Cor.xml	Tragedy	1608	'King''s'	Coriolanus (1608)
Per.xml	Comedy	1608	'King''s'	Pericles (1608)
Cym.xml	Tragedy	1609	'King''s'	Cymbeline (1609)
WT.xml	Comedy	1610	'King''s'	'The Winter''s Tale (1610)'
Tmp.xml	Comedy	1611	'King''s'	The Tempest (1611)
H8.xml	History	1613	'King''s'	Henry VIII (1613)
TNK.xml	Comedy	1613	'King''s'	Two Noble Kinsmen (1613)
