play	male_lines	female_lines	rel_freq_f	rel_freq_m	genre	length
1H4.xml	23941	901	0.0362692215	0.9637307785	history	25661
1H6.xml	18570	2830	0.1322429907	0.8677570093	history	22665
2H4.xml	23735	2624	0.0995485413	0.9004514587	history	27235
2H6.xml	22960	3798	0.1419388594	0.8580611406	history	27134
3H6.xml	21689	3249	0.1302831021	0.8697168979	history	26082
Ado.xml	17491	4567	0.207045063	0.792954937	comedy	22607
Ant.xml	18515	6360	0.255678392	0.744321608	tragedy	26399
AWW.xml	13081	8001	0.3795180723	0.6204819277	comedy	24454
AYL.xml	12273	9498	0.4362684305	0.5637315695	comedy	22975
Cor.xml	16855	3239	0.1611923957	0.8388076043	tragedy	29322
Cym.xml	20603	6064	0.2273971575	0.7726028425	tragedy	29380
Err.xml	12092	4100	0.2532114625	0.7467885375	comedy	16346
H5.xml	24932	1302	0.0496302508	0.9503697492	history	27104
H8.xml	18184	4180	0.18690753	0.81309247	history	25620
Ham.xml	28035	2425	0.0796126067	0.9203873933	tragedy	31977
JC.xml	17412	987	0.0536442198	0.9463557802	tragedy	19641
Jn.xml	17736	3176	0.1518745218	0.8481254782	history	21893
LLL.xml	17789	4709	0.209307494	0.790692506	comedy	22744
Lr.xml	22271	3965	0.1511282208	0.8488717792	tragedy	27552
Mac.xml	13073	2648	0.1684371223	0.8315628777	tragedy	18102
MM.xml	18807	4144	0.1805585813	0.8194414187	comedy	23127
MND.xml	12317	4714	0.2767893841	0.7232106159	comedy	17437
MV.xml	15609	6464	0.292846464	0.707153536	comedy	22340
Oth.xml	21894	5238	0.1930561698	0.8069438302	tragedy	27990
Per.xml	13831	3826	0.216684601	0.783315399	comedy	19462
R2.xml	20910	2231	0.0964089711	0.9035910289	history	23394
R3.xml	22190	6835	0.2354866494	0.7645133506	history	31045
Rom.xml	15715	7943	0.3357426663	0.6642573337	tragedy	25484
Shr.xml	19301	2582	0.1179911347	0.8820088653	comedy	22540
TGV.xml	13285	4631	0.2584840366	0.7415159634	comedy	18459
Tim.xml	13635	93	0.0067744755	0.9932255245	tragedy	19739
Tit.xml	18667	2731	0.1276287504	0.8723712496	tragedy	21529
Tmp.xml	16033	1082	0.0632193982	0.9367806018	comedy	17560
TN.xml	14257	6675	0.3188897382	0.6811102618	comedy	21269
TNK.xml	15604	6715	0.3008647341	0.6991352659	comedy	23659
Tro.xml	24557	2979	0.1081856479	0.8918143521	tragedy	27628
Wiv.xml	16985	7196	0.2975890162	0.7024109838	comedy	23949
WT.xml	18102	5608	0.2365246731	0.7634753269	comedy	26158
